+------------+------------------+------------------------+-----------------+------------------+------------------------------------------------------------------------------+
|         ID | DimensionType ID | Name                   | shouldLoadSpawn | Currently loaded | WorldProvider class                                                          |
+------------+------------------+------------------------+-----------------+------------------+------------------------------------------------------------------------------+
|          0 |                0 | overworld              |            true |             true | net.minecraft.world.WorldProviderSurface                                     |
|          1 |                1 | the_end                |           false |            false | net.minecraft.world.WorldProviderEnd                                         |
|         50 |               50 | The Abyssal Wasteland  |           false |            false | com.shinoow.abyssalcraft.common.world.WorldProviderAbyss                     |
|         51 |               51 | The Dreadlands         |           false |            false | com.shinoow.abyssalcraft.common.world.WorldProviderDreadlands                |
|         52 |               52 | Omothol                |           false |            false | com.shinoow.abyssalcraft.common.world.WorldProviderOmothol                   |
|         53 |               53 | The Dark Realm         |           false |            false | com.shinoow.abyssalcraft.common.world.WorldProviderDarkRealm                 |
|        800 |              800 | abyss                  |           false |            false | net.tslat.aoa3.dimension.abyss.WorldProviderAbyss                            |
|        801 |              801 | ancient_cavern         |           false |            false | net.tslat.aoa3.dimension.ancientcavern.WorldProviderAncientCavern            |
|        802 |              802 | barathos               |           false |            false | net.tslat.aoa3.dimension.barathos.WorldProviderBarathos                      |
|        803 |              803 | candyland              |           false |            false | net.tslat.aoa3.dimension.candyland.WorldProviderCandyland                    |
|        804 |              804 | celeve                 |           false |            false | net.tslat.aoa3.dimension.celeve.WorldProviderCeleve                          |
|        805 |              805 | creeponia              |           false |            false | net.tslat.aoa3.dimension.creeponia.WorldProviderCreeponia                    |
|        806 |              806 | crystevia              |           false |            false | net.tslat.aoa3.dimension.crystevia.WorldProviderCrystevia                    |
|        807 |              807 | deeplands              |           false |            false | net.tslat.aoa3.dimension.deeplands.WorldProviderDeeplands                    |
|        808 |              808 | dustopia               |           false |            false | net.tslat.aoa3.dimension.dustopia.WorldProviderDustopia                      |
|        809 |              809 | gardencia              |           false |            false | net.tslat.aoa3.dimension.gardencia.WorldProviderGardencia                    |
|        810 |              810 | greckon                |           false |            false | net.tslat.aoa3.dimension.greckon.WorldProviderGreckon                        |
|        811 |              811 | haven                  |           false |            false | net.tslat.aoa3.dimension.haven.WorldProviderHaven                            |
|        812 |              812 | immortallis            |           false |            false | net.tslat.aoa3.dimension.immortallis.WorldProviderImmortallis                |
|        813 |              813 | iromine                |           false |            false | net.tslat.aoa3.dimension.iromine.WorldProviderIromine                        |
|        814 |              814 | lborean                |           false |            false | net.tslat.aoa3.dimension.lborean.WorldProviderLBorean                        |
|        815 |              815 | lelyetia               |           false |            false | net.tslat.aoa3.dimension.lelyetia.WorldProviderLelyetia                      |
|        816 |              816 | lunalus                |           false |            false | net.tslat.aoa3.dimension.lunalus.WorldProviderLunalus                        |
|        817 |              817 | mysterium              |           false |            false | net.tslat.aoa3.dimension.mysterium.WorldProviderMysterium                    |
|        818 |              818 | precasia               |           false |            false | net.tslat.aoa3.dimension.precasia.WorldProviderPrecasia                      |
|        819 |              819 | runandor               |           false |            false | net.tslat.aoa3.dimension.runandor.WorldProviderRunandor                      |
|        820 |              820 | shyrelands             |           false |            false | net.tslat.aoa3.dimension.shyrelands.WorldProviderShyrelands                  |
|        821 |              821 | vox_ponds              |           false |            false | net.tslat.aoa3.dimension.voxponds.WorldProviderVoxPonds                      |
|        684 |              684 | limbo                  |           false |             true | org.dimdev.dimdoors.shared.world.limbo.WorldProviderLimbo                    |
|        685 |              685 | private_pockets        |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderPersonalPocket |
|        686 |              686 | public_pockets         |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderPublicPocket   |
|        687 |              687 | dungeon_pockets        |           false |             true | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderDungeonPocket  |
|        688 |              687 | dungeon_pockets        |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderDungeonPocket  |
|         66 |               66 | EREBUS                 |           false |            false | erebus.world.WorldProviderErebus                                             |
|        111 |              111 | lostcities             |           false |            false | mcjty.lostcities.dimensions.world.LostWorldProvider                          |
|      14676 |            14676 | emptiness              |           false |            false | thecodex6824.thaumicaugmentation.common.world.WorldProviderEmptiness         |
|         20 |               20 | betweenlands           |           false |            false | thebetweenlands.common.world.WorldProviderBetweenlands                       |
|          4 |                4 | AetherI                |           false |            false | com.gildedgames.the_aether.world.AetherWorldProvider                         |
|     -11325 |           -11325 | Deep Dark              |           false |            false | com.rwtema.extrautils2.dimensions.deep_dark.WorldProviderDeepDark            |
|      -9999 |            -9999 | ExtraUtils2_Quarry_Dim |            true |             true | com.rwtema.extrautils2.dimensions.workhousedim.WorldProviderSpecialDim       |
|       4598 |             4598 | nc_wasteland           |           false |            false | nc.worldgen.dimension.WorldProviderWasteland                                 |
| -343800852 |       -343800852 | Spectre                |            true |             true | lumien.randomthings.handler.spectre.SpectreWorldProvider                     |
|          7 |                7 | twilight_forest        |           false |            false | twilightforest.world.WorldProviderTwilightForest                             |
|         -2 |                3 | space                  |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderSpace                |
|          2 |              -11 | Storage Cell           |            true |             true | appeng.spatial.StorageWorldProvider                                          |
|         16 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|          3 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         17 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         18 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         19 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         21 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         22 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         23 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|          6 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|          8 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         24 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|          9 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         10 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         11 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         12 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         25 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         13 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         14 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         15 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         32 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         33 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         34 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         35 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         36 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         37 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         26 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         27 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         28 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         29 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         30 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         31 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         48 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         38 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         39 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         40 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         41 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         42 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         43 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         44 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         45 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         46 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         47 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         49 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         54 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         55 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         56 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         57 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         58 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         59 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         60 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         61 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         62 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         65 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         67 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         68 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         69 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         70 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         71 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         72 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         73 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         74 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         75 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         76 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         77 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         78 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         79 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         63 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         64 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         81 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         82 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         83 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         84 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         85 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         86 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         87 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         88 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         89 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         90 |                2 | planet                 |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet               |
|         -1 |               -1 | Nether                 |           false |             true | logictechcorp.netherex.world.WorldProviderNetherEx                           |
+------------+------------------+------------------------+-----------------+------------------+------------------------------------------------------------------------------+
|         ID | DimensionType ID | Name                   | shouldLoadSpawn | Currently loaded | WorldProvider class                                                          |
+------------+------------------+------------------------+-----------------+------------------+------------------------------------------------------------------------------+
