+----------------------------------------------------+--------------------------------------------------------+--------------------------------------+------+
| Mod name                                           | Registry name                                          | Entity class name                    |   ID |
+----------------------------------------------------+--------------------------------------------------------+--------------------------------------+------+
| AE2 Unofficial Extended Life                       | appliedenergistics2:appeng.entity.entitychargedquartz  | EntityChargedQuartz                  |   12 |
| AE2 Unofficial Extended Life                       | appliedenergistics2:appeng.entity.entitygrowingcrystal | EntityGrowingCrystal                 |   13 |
| AE2 Unofficial Extended Life                       | appliedenergistics2:appeng.entity.entitysingularity    | EntitySingularity                    |   11 |
| AE2 Unofficial Extended Life                       | appliedenergistics2:appeng.entity.entitytinytntprimed  | EntityTinyTNTPrimed                  |   10 |
| AbyssalCraft                                       | abyssalcraft:abygolem                                  | EntityAbygolem                       |   30 |
| AbyssalCraft                                       | abyssalcraft:abyssalzombie                             | EntityAbyssalZombie                  |   27 |
| AbyssalCraft                                       | abyssalcraft:acidprojectile                            | EntityAcidProjectile                 |   77 |
| AbyssalCraft                                       | abyssalcraft:antiabyssalzombie                         | EntityAntiAbyssalZombie              |   48 |
| AbyssalCraft                                       | abyssalcraft:antibat                                   | EntityAntiBat                        |   49 |
| AbyssalCraft                                       | abyssalcraft:antichicken                               | EntityAntiChicken                    |   50 |
| AbyssalCraft                                       | abyssalcraft:anticow                                   | EntityAntiCow                        |   51 |
| AbyssalCraft                                       | abyssalcraft:anticreeper                               | EntityAntiCreeper                    |   52 |
| AbyssalCraft                                       | abyssalcraft:antighoul                                 | EntityAntiGhoul                      |   53 |
| AbyssalCraft                                       | abyssalcraft:antipig                                   | EntityAntiPig                        |   54 |
| AbyssalCraft                                       | abyssalcraft:antiplayer                                | EntityAntiPlayer                     |   55 |
| AbyssalCraft                                       | abyssalcraft:antiskeleton                              | EntityAntiSkeleton                   |   56 |
| AbyssalCraft                                       | abyssalcraft:antispider                                | EntityAntiSpider                     |   57 |
| AbyssalCraft                                       | abyssalcraft:antizombie                                | EntityAntiZombie                     |   58 |
| AbyssalCraft                                       | abyssalcraft:blackhole                                 | EntityBlackHole                      |   78 |
| AbyssalCraft                                       | abyssalcraft:chagaroth                                 | EntityChagaroth                      |   45 |
| AbyssalCraft                                       | abyssalcraft:chagarothfist                             | EntityChagarothFist                  |   44 |
| AbyssalCraft                                       | abyssalcraft:chagarothspawn                            | EntityChagarothSpawn                 |   43 |
| AbyssalCraft                                       | abyssalcraft:coraliumarrow                             | EntityCoraliumArrow                  |   61 |
| AbyssalCraft                                       | abyssalcraft:coraliumsquid                             | EntityCoraliumSquid                  |   74 |
| AbyssalCraft                                       | abyssalcraft:demonchicken                              | EntityDemonChicken                   |   70 |
| AbyssalCraft                                       | abyssalcraft:demoncow                                  | EntityDemonCow                       |   69 |
| AbyssalCraft                                       | abyssalcraft:demonpig                                  | EntityDemonPig                       |   41 |
| AbyssalCraft                                       | abyssalcraft:demonsheep                                | EntityDemonSheep                     |   73 |
| AbyssalCraft                                       | abyssalcraft:depthsghoul                               | EntityDepthsGhoul                    |   25 |
| AbyssalCraft                                       | abyssalcraft:dragonboss                                | EntityDragonBoss                     |   35 |
| AbyssalCraft                                       | abyssalcraft:dragonminion                              | EntityDragonMinion                   |   34 |
| AbyssalCraft                                       | abyssalcraft:dreadedcharge                             | EntityDreadedCharge                  |   76 |
| AbyssalCraft                                       | abyssalcraft:dreadgolem                                | EntityDreadgolem                     |   31 |
| AbyssalCraft                                       | abyssalcraft:dreadguard                                | EntityDreadguard                     |   32 |
| AbyssalCraft                                       | abyssalcraft:dreadling                                 | EntityDreadling                      |   39 |
| AbyssalCraft                                       | abyssalcraft:dreadslug                                 | EntityDreadSlug                      |   65 |
| AbyssalCraft                                       | abyssalcraft:dreadspawn                                | EntityDreadSpawn                     |   40 |
