+----------------------------------------------------+----------+-------------------------------------------------+--------------------------------------------------------------------------------+----------------------------------------------------------------+
| Registry name                                      | Meta/dmg | Display name                                    | Ore Dict Keys                                                                  | NBT                                                            |
+----------------------------------------------------+----------+-------------------------------------------------+--------------------------------------------------------------------------------+----------------------------------------------------------------+
| abyssalcraft:abycopore                             |        0 | Abyssal Copper Ore                              | oreCopper                                                                      |                                                                |
| abyssalcraft:abycorore                             |        0 | Abyssal Coralium Ore                            | oreCoralium                                                                    |                                                                |
| abyssalcraft:abydiaore                             |        0 | Abyssal Diamond Ore                             | oreDiamond                                                                     |                                                                |
| abyssalcraft:abydreadore                           |        0 | Dreadlands Abyssalnite Ore                      | oreAbyssalnite                                                                 |                                                                |
| abyssalcraft:abygolore                             |        0 | Abyssal Gold Ore                                | oreGold                                                                        |                                                                |
| abyssalcraft:abyingot                              |        0 | §3Abyssalnite Ingot                             | ingotAbyssalnite                                                               |                                                                |
| abyssalcraft:abyiroore                             |        0 | Abyssal Iron Ore                                | oreIron                                                                        |                                                                |
| abyssalcraft:abylcorore                            |        0 | Liquified Coralium Ore                          | oreLiquifiedCoralium                                                           |                                                                |
| abyssalcraft:abynitore                             |        0 | Abyssal Nitre Ore                               | oreSaltpeter                                                                   |                                                                |
| abyssalcraft:abyore                                |        0 | Abyssalnite Ore                                 | oreAbyssalnite                                                                 |                                                                |
| abyssalcraft:abypcorore                            |        0 | Pearlescent Coralium Ore                        | orePearlescentCoralium                                                         |                                                                |
| abyssalcraft:abyssalsandglass                      |        0 | Abyssal Sand Glass                              | blockGlass                                                                     |                                                                |
| abyssalcraft:abytinore                             |        0 | Abyssal Tin Ore                                 | oreTin                                                                         |                                                                |
| abyssalcraft:antibeef                              |        0 | Anti-Beef                                       | listAllFood                                                                    |                                                                |
| abyssalcraft:antichicken                           |        0 | Anti-Chicken                                    | listAllFood                                                                    |                                                                |
| abyssalcraft:anticorbone                           |        0 | Anti-plagued Flesh on A Bone                    | listAllFood                                                                    |                                                                |
| abyssalcraft:anticorflesh                          |        0 | Anti-plagued Flesh                              | listAllFood                                                                    |                                                                |
| abyssalcraft:antiflesh                             |        0 | Rotten Anti-Flesh                               | listAllFood                                                                    |                                                                |
